address	available_bike_stands	available_bikes	banking	bike_stands	bonus	contract_name	last_update	lat	lng	name	number	status	idr
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 21:20	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	94073
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 21:25	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	95302
112 RUE VERCINGETORIX - 75014 PARIS	55	12	0	67	0	Paris	15/07/2013 21:30	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	96531
112 RUE VERCINGETORIX - 75014 PARIS	54	13	0	67	0	Paris	15/07/2013 21:35	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	97760
112 RUE VERCINGETORIX - 75014 PARIS	55	12	0	67	0	Paris	15/07/2013 21:40	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	98989
112 RUE VERCINGETORIX - 75014 PARIS	54	13	0	67	0	Paris	15/07/2013 21:45	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	100218
112 RUE VERCINGETORIX - 75014 PARIS	53	14	0	67	0	Paris	15/07/2013 21:50	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	101447
112 RUE VERCINGETORIX - 75014 PARIS	51	16	0	67	0	Paris	15/07/2013 21:55	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	102676
112 RUE VERCINGETORIX - 75014 PARIS	51	16	0	67	0	Paris	15/07/2013 22:00	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	103905
112 RUE VERCINGETORIX - 75014 PARIS	52	15	0	67	0	Paris	15/07/2013 22:05	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	105134
112 RUE VERCINGETORIX - 75014 PARIS	52	15	0	67	0	Paris	15/07/2013 22:10	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	106363
112 RUE VERCINGETORIX - 75014 PARIS	53	14	0	67	0	Paris	15/07/2013 22:15	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	107592
